movie_id,iso_3166_1,name
129,JP,Japan
497,US,United States of America
122,NZ,New Zealand
122,US,United States of America
120,NZ,New Zealand
120,US,United States of America
40096,BR,Brazil
121,NZ,New Zealand
121,US,United States of America
4935,JP,Japan
1218925,JP,Japan
128,JP,Japan
620249,CN,China
533514,JP,Japan
1585,US,United States of America
1139087,US,United States of America
18491,JP,Japan
572154,JP,Japan
92321,JP,Japan
110420,JP,Japan
618344,US,United States of America
315162,US,United States of America
635302,JP,Japan
441130,FR,France
441130,IE,Ireland
441130,LU,Luxembourg
441130,US,United States of America
441130,CN,China
537061,US,United States of America
490,SE,Sweden
476292,JP,Japan
592350,JP,Japan
980477,CN,China
810693,JP,Japan
149871,JP,Japan
508442,US,United States of America
791373,US,United States of America
823219,LV,Latvia
823219,BE,Belgium
823219,FR,France
664767,US,United States of America
12445,GB,United Kingdom
12445,US,United States of America
610892,JP,Japan
8392,JP,Japan
663558,CN,China
640344,IT,Italy
532067,JP,Japan
518068,KR,South Korea
638507,US,United States of America
397567,KR,South Korea
803796,US,United States of America
555604,US,United States of America
14696,JP,Japan
673,GB,United Kingdom
673,US,United States of America
110416,IE,Ireland
110416,LU,Luxembourg
110416,BE,Belgium
110416,DK,Denmark
140420,US,United States of America
568160,JP,Japan
10515,JP,Japan
81,JP,Japan
29264,MX,Mexico
726684,BR,Brazil
726684,CA,Canada
726684,CN,China
726684,FR,France
726684,KR,South Korea
726684,GB,United Kingdom
1087192,US,United States of America
315465,JP,Japan
122906,GB,United Kingdom
122906,US,United States of America
14836,US,United States of America
671,GB,United Kingdom
671,US,United States of America
615453,CN,China
916224,JP,Japan
183011,US,United States of America
667520,JP,Japan
505262,JP,Japan
961323,US,United States of America
961323,GB,United Kingdom
32085,US,United States of America
10191,US,United States of America
33320,JP,Japan
2062,US,United States of America
178682,US,United States of America
16859,JP,Japan
445030,JP,Japan
9479,US,United States of America
550205,US,United States of America
550205,CN,China
550205,CZ,Czech Republic
22,US,United States of America
83564,US,United States of America
762,GB,United Kingdom
527774,US,United States of America
674,GB,United Kingdom
674,US,United States of America
11621,JP,Japan
568012,JP,Japan
5961,SE,Sweden
5961,DE,Germany
5961,FR,France
508943,US,United States of America
14069,JP,Japan
14282,JP,Japan
141,US,United States of America
1417,MX,Mexico
1417,ES,Spain
1417,US,United States of America
144,DE,Germany
144,FR,France
808,US,United States of America
28162,GB,United Kingdom
587,US,United States of America
12429,JP,Japan
24480,US,United States of America
15265,FR,France
12516,JP,Japan
12516,US,United States of America
12444,GB,United Kingdom
12444,US,United States of America
27670,IT,Italy
585511,ES,Spain
585511,US,United States of America
10020,US,United States of America
30959,JP,Japan
15916,JP,Japan
162,US,United States of America
672,GB,United Kingdom
672,US,United States of America
672,DE,Germany
843241,JP,Japan
