adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
False,/3c59KMNs2MYqXUb2GZe8Yfwn4kb.jpg,"[14, 16, 18, 878]",14069,ja,時をかける少女,"When 17-year-old Makoto Konno gains the ability to 'leap' backwards through time, she immediately sets about improving her grades and preventing personal mishaps. However, she soon realises that changing the past isn't as simple as it seems, and eventually, will have to rely on her new powers to shape the future of herself and her friends.",4.6574,/xHnlWM8BmqY419YUccYy2KC5Jqo.jpg,2006-07-15,The Girl Who Leapt Through Time,False,7.8,2219
False,/2ha0wAOqrUcLScStWQcgeOOXapQ.jpg,"[10749, 14, 18]",1241921,en,A Big Bold Beautiful Journey,"Sarah and David are single strangers who meet at a mutual friend’s wedding and soon, through a surprising twist of fate, find themselves on a funny, fantastical, sweeping adventure together where they get to re-live important moments from their respective pasts, illuminating how they got to where they are in the present... and possibly getting a chance to alter their futures.",4.9109,/uMAkmQlKthQpTMiyPAKOYK3JnMs.jpg,2025-09-17,A Big Bold Beautiful Journey,False,6.238,355
False,/Z3mSxuPRNiFYxf1LBoGz3YrJzC.jpg,"[16, 10751, 14, 10402, 12, 35, 878]",1148677,ja,映画ドラえもん のび太の地球交響楽,"When a malevolent entity intent on eradicating music from the world surfaces, Nobita and his friends must unite with supernatural companions to safeguard the planet.",5.0505,/1W5Kg4K27U3dx9Kxb8DaE6WFLHI.jpg,2024-03-01,Doraemon the Movie: Nobita's Earth Symphony,False,6.75,32
False,/1GGfWFp9hp4RUHRHxd505z9rVFa.jpg,"[12, 14, 35, 10751]",9607,en,Super Mario Bros.,"Mario and Luigi, plumbers from Brooklyn, find themselves in an alternate universe where evolved dinosaurs live in hi-tech squalor. They're the only hope to save our universe from invasion by the dino dictator, Koopa.",4.2927,/yt5bbMfKpg1nRr4k5edxs7tPK2m.jpg,1993-05-28,Super Mario Bros.,False,4.467,1426
False,/zsgdVbuEwqZbnUN9qLGEMBYf2Zo.jpg,"[14, 28, 53]",277,en,Underworld,"Vampires and werewolves have waged a nocturnal war against each other for centuries. But all bets are off when a female vampire warrior named Selene, who's famous for her strength and werewolf-hunting prowess, becomes smitten with a peace-loving male werewolf, Michael, who wants to end the war.",4.7092,/zsnQ41UZ3jo1wEeemF0eA9cAIU0.jpg,2003-09-19,Underworld,False,6.8,6540
False,/9KSboWOt09J72aMY4x8SS1IaOHK.jpg,"[16, 28, 12, 14]",987400,es,Batman Azteca: Choque de imperios,"In the time of the Aztec empire, tragedy strikes Yohualli Coatl when his father is murdered by Spanish conquistadors. To warn King Moctezuma and his high priest, Yoka, of imminent danger, Yohualli escapes to Tenochtitlán. There, he trains in the temple of the bat god Tzinacan with his mentor, developing equipment and weaponry to confront the Spanish invasion and avenge his father’s death. Along the way, he encounters key figures like the fierce Jaguar Woman and the conquistador Hernán Cortés.",4.3541,/aNkBvhwnYC9itaHDzlnJPfuZcoO.jpg,2025-09-18,Aztec Batman: Clash of Empires,False,7.7,136
False,/6SFrBoiuioqljN42pbTmyRKccTp.jpg,"[16, 28, 14]",28609,ja,ドラゴンボールＺ オラの悟飯をかえせッ!!,"In order to wish for immortality and avenge his father, Garlic Jr. collects the dragon balls, kidnapping Goku's son Gohan in the process. Goku, Kami, Piccolo, and Krillin unite to rescue Gohan and save the world from being sucked into a dead zone.",4.3835,/ywtyEDTM2YO7qod7USNNwhrAfvA.jpg,1989-07-15,Dragon Ball Z: Dead Zone,False,6.855,608
False,/xTWHFJgP5anqRipDig4LSa4DLqj.jpg,"[16, 12, 35, 14]",532067,ja,映画 この素晴らしい世界に祝福を！紅伝説,"After receiving a warning that Yunyun's hometown is in danger, Kazuma's party is relieved to discover it's only a joke...until it isn't. The Demon King's general has just arrived to obtain The Mage Killer, a weapon with world-ending power.",4.9342,/fv5BgcfkpWh3V6Pb1qVlXESBOdl.jpg,2019-08-30,KONOSUBA – God's blessing on this wonderful world! Legend of Crimson,False,8.0,605
False,/5nhp41gx49vXjwXuDXJwQrRFsng.jpg,"[35, 10751, 14]",10719,en,Elf,"When young Buddy falls into Santa's gift sack on Christmas Eve, he's transported back to the North Pole and raised as a toy-making elf by Santa's helpers. But as he grows into adulthood, he can't shake the nagging feeling that he doesn't belong. Buddy vows to visit Manhattan and find his real dad, a workaholic.",4.2627,/oOleziEempUPu96jkGs0Pj6tKxj.jpg,2003-11-07,Elf,False,6.667,4501
False,/fYKfPWArkWeMcril9JxhVRP9bYk.jpg,"[35, 14]",9678,en,Little Nicky,"After the lord of darkness decides he will not cede his throne to any of his three sons, the two most powerful of them escape to Earth to create a kingdom for themselves. This action closes the portal filtering sinful souls to Hell and causes Satan to wither away. He must send his most weak but beloved son, Little Nicky, to Earth to return his brothers to Hell.",4.4368,/AudA8gnTWSBWXBHSBHnr3HHUXXM.jpg,2000-11-10,Little Nicky,False,5.844,1958
False,/Ak92sir46uE8ncp0JiOxOa0ZoiR.jpg,"[14, 18, 27]",230887,cn,色降,"Hung is disappointed when her man, Yuk Lung, becomes engaged to pretty Pai Lin. Hung and her scheming mother engage a sorcerer, Ko Yin Yau, to place a spell on him. Yuk Lung becomes possessed by the Adultery Ghost, and he leaves Pai Lin in the middle of having sex with her, going to Hung. Pai Lin and her friend Nancy rush to Thailand, seeking the help of another sorcerer, Simol. The title alludes to the battle of the two spell-casters, through their two hosts. Along the way, plenty of excuses are found to get all the clothes off a number of lovely young women.",4.4042,/1TJ9UokiBmtKskNAo5Z6IlGEEHY.jpg,1991-04-20,Witchcraft vs. Curse,False,4.4,5
False,/jzWT0zd8U77fqWg5WgUfYaMzSFz.jpg,"[28, 878, 14]",526896,en,Morbius,"Dangerously ill with a rare blood disorder, and determined to save others suffering his same fate, Dr. Michael Morbius attempts a desperate gamble. What at first appears to be a radical success soon reveals itself to be a remedy potentially worse than the disease.",5.1896,/Av8Z2jZhEm1FLkFzMThzz9hndJF.jpg,2022-03-30,Morbius,False,5.918,4764
False,/cQW6UoDxwwfqIMTVfxdxHk4JLGP.jpg,"[35, 14, 10751]",35019,en,Nanny McPhee and the Big Bang,"Nanny McPhee appears at the door of a harried young mother who is trying to run the family farm while her husband is away at war. But once she’s arrived, Nanny discovers that the children are fighting a war of their own against two spoiled city cousins who have just moved in. Relying on everything from a flying motorcycle and a statue that comes to life to a tree-climbing piglet and a baby elephant, Nanny uses her magic to teach her mischievous charges five new lessons.",4.5173,/9cgHfgBXVZmVR63AhwJ82R1kAFS.jpg,2010-03-26,Nanny McPhee and the Big Bang,False,6.312,1935
False,/udIE8Cdon9wnYmVIOFYrBPfA2Mq.jpg,"[14, 16, 35, 80]",856,en,Who Framed Roger Rabbit,"'Toon star Roger is worried that his wife Jessica is playing pattycake with someone else, so the studio hires detective Eddie Valiant to snoop on her. But the stakes are quickly raised when Marvin Acme is found dead and Roger is the prime suspect.",6.0189,/lYfRc57Kx9VgLZ48iulu0HKnM15.jpg,1988-06-22,Who Framed Roger Rabbit,False,7.535,6121
False,/hYY4k0346KtwskCrgmC4C4HGSnj.jpg,"[14, 12, 28]",57165,en,Wrath of the Titans,"Perseus tries to live a quieter life as a village fisherman while – dangerously weakened by humanity's lack of devotion – the gods are losing control of the long-imprisoned Titans and their ferocious leader, Kronos.",4.8569,/b9n2R3xZWQ8MVZgndQoV34stS0h.jpg,2012-03-28,Wrath of the Titans,False,5.8,4473
False,/cnWVCPDrX29kX7AwA9sfNlLx5vn.jpg,"[28, 14, 53]",23629,en,Sucker Punch,"A young woman, institutionalized by her abusive stepfather, retreats into a vivid fantasy world where she envisions a plan to escape. Gathering a group of fellow inmates, she embarks on a quest to collect five mystical items, blurring the lines between reality and imagination.",4.7491,/jtaUDnvIiHUd2ranDcjB5AbPx6o.jpg,2011-03-24,Sucker Punch,False,6.194,5019
False,/z4nKeZpPCrTifS6pzzK8vNleADl.jpg,"[14, 28, 9648]",123553,en,The Mortal Instruments: City of Bones,"In New York City, Clary Fray, a seemingly ordinary teenager, learns that she is descended from a line of Shadowhunters — half-angel warriors who protect humanity from evil forces. After her mother disappears, Clary joins forces with a group of Shadowhunters and enters Downworld, an alternate realm filled with demons, vampires, and a host of other creatures. Clary and her companions must find and protect an ancient cup that holds the key to her mother's future.",4.7486,/zaK1aVn5vXfNwLIDop9U8XA3Q0x.jpg,2013-08-21,The Mortal Instruments: City of Bones,False,6.429,4618
False,/jfTL29RnWaVRqW3VEcAtXUGx53v.jpg,"[16, 12, 10751, 14, 878]",70841,ja,映画ドラえもん のび太の恐竜2006,"After bringing a fossilized egg back to life with the Time Cloth, Nobita finds himself the owner of a baby dinosaur. Everything is fine until it grows up. Nobita and friends use Doraemon's time machine to return it back to its own time.",4.7413,/g0D94CrNm8bTCgHdpURTmR46s1Q.jpg,2006-03-04,Doraemon: Nobita's Dinosaur,False,7.473,92
False,/zQVsXIPXU040BnFtBmzoOfYGcDu.jpg,"[35, 12, 10751, 14]",527435,en,The Christmas Chronicles,"Siblings Kate and Teddy try to prove Santa Claus is real, but when they accidentally cause his sleigh to crash, they have to save Christmas.",4.7341,/5Il2EMSF2KecrUKZPuen6BZmaCP.jpg,2018-11-22,The Christmas Chronicles,False,7.162,2373
False,/nN4Gs3vZAOJ1D6FRtrwbU9VGYwU.jpg,"[16, 14, 10751, 35, 10749, 12]",486589,ko,레드슈즈,"Princes who have been turned into Dwarfs seek the red shoes of a lady in order to break the spell, although it will not be easy.",4.7329,/MBiKqTsouYqAACLYNDadsjhhC0.jpg,2019-07-25,Red Shoes and the Seven Dwarfs,False,7.695,1130
False,/ul4WiN9EJxsMokdg7z4Y6iisvHS.jpg,"[28, 12, 14, 53]",518068,ko,신과함께-인과 연,"As the deceased soul Ja-hong and his three afterlife guardians prepare for their remaining trials for reincarnation, the guardians soon come face to face with the truth of their tragic time on Earth 1,000 years earlier.",4.7283,/9BnqBHFGDv3WlCPB2qQwzAWdy7y.jpg,2018-08-01,Along with the Gods: The Last 49 Days,False,8.1,737
False,/AouRp7KcIOVmsSuZlTXKqT4aYT2.jpg,"[12, 16, 14]",15283,ja,平成狸合戦ぽんぽこ,"The Raccoons of the Tama Hills are being forced from their homes by the rapid development of houses and shopping malls. As it becomes harder to find food and shelter, they decide to band together and fight back. The Raccoons practice and perfect the ancient art of transformation until they are even able to appear as humans in hilarious circumstances.",4.727,/zat2MMhejQyJJN6CucLI9Or9kdo.jpg,1994-07-16,Pom Poko,False,7.172,1189
False,/tzrcGi28kAIEsrCNMuiyAOFrToG.jpg,"[16, 12, 14, 878, 10751]",384345,ja,映画ドラえもん 新・のび太の日本誕生,"Doraemon and his friends travel to ancient Japan where they meet Kukuru. When Kukuru tells them that his tribe has been enslaved by Gigazombie, Doraemon decides to help him.",4.7199,/yF6pCSsRKkN5RzeU01OzXOzTyVQ.jpg,2016-03-05,Doraemon: Nobita and the Birth of Japan,False,6.813,72
